,id,Фамилия1,Имя1,Очество1,Фамилия2,Имя2,Очество2,,,,,,,
61,5023,Наумкин,Юрий,Анатольевич,Солошина,Лариса,Вячеславовна,,,,Наумкин,Юрий,Анатольевич,НаумкинЮрийАнатольевич
394,5417,Партыко,Алена,Геннадьевна,Бердбекова,Юлия,Вячеславовна,,,,Партыко,Алена,Геннадьевна,ПартыкоАленаГеннадьевна
14,5431,Батюков,Вячеслав,Артемович,Горовой,Ян,Алексеевич,,,,Батюков,Вячеслав,Артемович,БатюковВячеславАртемович
210,5641,Модзалевская,Карина,Дмитриевна,Богоявленский,Ян,Сергеевич,,,,Модзалевская,Карина,Дмитриевна,МодзалевскаяКаринаДмитриевна
393,6034,Тулебаева,Елизавета,Георгиевна,Арман,Андрей,Евгеньевич,,,,Тулебаева,Елизавета,Георгиевна,ТулебаеваЕлизаветаГеоргиевна
95,6129,Жданов,Глеб,Маратович,Пелипенко,Рамиль,Васильевич,,,,Жданов,Глеб,Маратович,ЖдановГлебМаратович
87,6216,Хохленков,Яков,Григорьевич,Баклицкий,Илья,Тимофеевич,,,,Хохленков,Яков,Григорьевич,ХохленковЯковГригорьевич
423,6639,Зеленов,Егор,Иванович,Бересневич,Тимофей,Радикович,,,,Зеленов,Егор,Иванович,ЗеленовЕгорИванович
154,6793,Макавеева,Надежда,Михаиловна,Певец,Ефим,Германович,,,,Макавеева,Надежда,Михаиловна,МакавееваНадеждаМихаиловна
128,6921,Кожелупова,Мария,Даниловна,Колкунова,Раиса,Ярославовна,,,,Кожелупова,Мария,Даниловна,КожелуповаМарияДаниловна
23,6944,Филипович,Тимур,Ефимович,Шкулева,Вероника,Радиковна,,,,Филипович,Тимур,Ефимович,ФилиповичТимурЕфимович
41,6985,Айрапетов,Федор,Эдуардович,Игина,Елена,Михаиловна,,,,Айрапетов,Федор,Эдуардович,АйрапетовФедорЭдуардович
385,7370,Мормулев,Иван,Алексеевич,Апанюков,Вадим,Константинович,,,,Мормулев,Иван,Алексеевич,МормулевИванАлексеевич
3,7373,Телепнева,Александра,Ильдаровна,Безвенюк,Радик,Юрьевич,,,,Телепнева,Александра,Ильдаровна,ТелепневаАлександраИльдаровна
545,7918,Найденышева,Александра,Валентиновна,Аршавина,Оксана,Яновна,,,,Найденышева,Александра,Валентиновна,НайденышеваАлександраВалентиновна
39,7957,Столин,Федор,Игоревич,Уверова,Екатерина,Леонидовна,,,,Столин,Федор,Игоревич,СтолинФедорИгоревич
214,8171,Износкова,Анастасия,Глебовна,Бугайский,Данил,Владиславович,,,,Износкова,Анастасия,Глебовна,ИзносковаАнастасияГлебовна
298,8469,Наклеушев,Рамиль,Ильдарович,Вакарчук,Надежда,Георгиевна,,,,Наклеушев,Рамиль,Ильдарович,НаклеушевРамильИльдарович
55,8524,Архипенко,Жанна,Дмитриевна,Кузьминов,Дмитрий,Геннадьевич,,,,Архипенко,Жанна,Дмитриевна,АрхипенкоЖаннаДмитриевна
160,8684,Дальский,Александр,Егорович,Дедушкина,Марина,Эдуардовна,,,,Дальский,Александр,Егорович,ДальскийАлександрЕгорович
66,8750,Неумоева,Алена,Сергеевна,Городцева,Александра,Алексеевна,,,,Неумоева,Алена,Сергеевна,НеумоеваАленаСергеевна
535,9285,Рушева,Жанна,Ефимовна,Наянова,Ангелина,Семеновна,,,,Рушева,Жанна,Ефимовна,РушеваЖаннаЕфимовна
62,9347,Ясырев,Яков,Радикович,Радзиевский,Герман,Эдуардович,,,,Ясырев,Яков,Радикович,ЯсыревЯковРадикович
242,9589,Щеблыкина,Валерия,Вячеславовна,Ботяновская,Елизавета,Артуровна,,,,Щеблыкина,Валерия,Вячеславовна,ЩеблыкинаВалерияВячеславовна
78,9667,Тишков,Филипп,Леонидович,Ахтаев,Илья,Игоревич,,,,Тишков,Филипп,Леонидович,ТишковФилиппЛеонидович
71,9738,Комогорова,Антонина,Павловна,Маликова,Юлия,Ярославовна,,,,Комогорова,Антонина,Павловна,КомогороваАнтонинаПавловна
24,9762,Олтуфьев,Егор,Маратович,Гордягина,Галина,Андреевна,,,,Олтуфьев,Егор,Маратович,ОлтуфьевЕгорМаратович
430,10192,Войников,Тимур,Витальевич,Стукалова,Раиса,Викторовна,,,,Войников,Тимур,Витальевич,ВойниковТимурВитальевич
77,10269,Кузмичев,Ян,Никитович,Вельмукина,Яна,Георгиевна,,,,Кузмичев,Ян,Никитович,КузмичевЯнНикитович
597,10866,Бодякин,Андрей,Игоревич,Шахрина,Лариса,Николаевна,,,,Бодякин,Андрей,Игоревич,БодякинАндрейИгоревич
206,11072,Файбишевская,Эльвира,Васильевна,Евстюгов,Валентин,Алексеевич,,,,Файбишевская,Эльвира,Васильевна,ФайбишевскаяЭльвираВасильевна
74,11146,Горелых,Карина,Эдуардовна,Вязовая,Элина,Витальевна,,,,Горелых,Карина,Эдуардовна,ГорелыхКаринаЭдуардовна
84,11230,Бухараева,Оксана,Ярославовна,Троицкая,Галина,Семеновна,,,,Бухараева,Оксана,Ярославовна,БухараеваОксанаЯрославовна
74,11304,Тихонычева,Маргарита,Ивановна,Акопджанян,Анатолий,Аркадьевич,,,,Тихонычева,Маргарита,Ивановна,ТихонычеваМаргаритаИвановна
283,11587,Растова,Антонина,Дмитриевна,Браилко,Глеб,Филиппович,,,,Растова,Антонина,Дмитриевна,РастоваАнтонинаДмитриевна
239,11826,Шиндяпова,Анжелика,Петровна,Карманов,Артур,Филиппович,,,,Шиндяпова,Анжелика,Петровна,ШиндяповаАнжеликаПетровна
35,11861,Тарарыкин,Юрий,Янович,Кукарина,Ангелина,Игоревна,,,,Тарарыкин,Юрий,Янович,ТарарыкинЮрийЯнович
661,12522,Арифулина,Анастасия,Васильевна,Чернопуп,Валентин,Ярославович,,,,Арифулина,Анастасия,Васильевна,АрифулинаАнастасияВасильевна
430,12952,Торцев,Сергей,Яковлев,Юшкова,Раиса,Анатольевна,,,,Торцев,Сергей,Яковлев,ТорцевСергейЯковлев
18,12970,Лялин,Рамиль,Германович,Мольский,Павел,Станиславович,,,,Лялин,Рамиль,Германович,ЛялинРамильГерманович
142,13112,Флорентьева,Раиса,Евгеньевна,Бахар,Никита,Сергеевич,,,,Флорентьева,Раиса,Евгеньевна,ФлорентьеваРаисаЕвгеньевна
232,13344,Саенков,Николай,Витальевич,Грешнякова,Марина,Александровна,,,,Саенков,Николай,Витальевич,СаенковНиколайВитальевич
185,13529,Вирченко,Артур,Янович,Лаушкин,Василий,Александрович,,,,Вирченко,Артур,Янович,ВирченкоАртурЯнович
173,13702,Витушкина,Людмила,Никитовна,Ботя,Лидия,Германовна,,,,Витушкина,Людмила,Никитовна,ВитушкинаЛюдмилаНикитовна
24,13726,Куницын,Виктор,Григорьевич,Глухенький,Руслан,Валентинович,,,,Куницын,Виктор,Григорьевич,КуницынВикторГригорьевич
27,13753,Шаройко,Михаил,Романович,Жароков,Аркадий,Андреевич,,,,Шаройко,Михаил,Романович,ШаройкоМихаилРоманович
267,14020,Асадова,Людмила,Яновна,Ланчиков,Ефим,Альбертович,,,,Асадова,Людмила,Яновна,АсадоваЛюдмилаЯновна
34,14054,Калюжина,Альбина,Геннадьевна,Хрипина,Раиса,Радиковна,,,,Калюжина,Альбина,Геннадьевна,КалюжинаАльбинаГеннадьевна
170,14224,Пищалина,Евгения,Владимировна,Крыласова,Яна,Никитовна,,,,Пищалина,Евгения,Владимировна,ПищалинаЕвгенияВладимировна
17,14241,Павлюковец,Валентина,Филипповна,Богунова,Кристина,Кирилловна,,,,Павлюковец,Валентина,Филипповна,ПавлюковецВалентинаФилипповна
163,14404,Яник,Раиса,Алексеевна,Клюгин,Евгений,Артурович,,,,Яник,Раиса,Алексеевна,ЯникРаисаАлексеевна
36,14440,Немтин,Евгений,Станиславович,Абубакиров,Ян,Романович,,,,Немтин,Евгений,Станиславович,НемтинЕвгенийСтаниславович
238,14678,Падейская,Анастасия,Руслановна,Шерстов,Марсель,Викторович,,,,Падейская,Анастасия,Руслановна,ПадейскаяАнастасияРуслановна
161,14839,Литвина,Карина,Ринатовна,Ледковская,Юлия,Ярославовна,,,,Литвина,Карина,Ринатовна,ЛитвинаКаринаРинатовна
45,14884,Перевозкин,Герман,Семенович,Кочелаевский,Игорь,Федорович,,,,Перевозкин,Герман,Семенович,ПеревозкинГерманСеменович
121,15005,Киреев,Вадим,Николаевич,Пустыльник,Вероника,Юрьевна,,,,Киреев,Вадим,Николаевич,КиреевВадимНиколаевич
81,15086,Букетова,Наталья,Сергеевна,Дехтерев,Вячеслав,Юрьевич,,,,Букетова,Наталья,Сергеевна,БукетоваНатальяСергеевна
679,15765,Ноженко,Кирилл,Валерьевич,Сомов,Валерий,Евгеньевич,,,,Ноженко,Кирилл,Валерьевич,НоженкоКириллВалерьевич
555,16320,Абасов,Альберт,Константинович,Ишунин,Станислав,Глебович,,,,Абасов,Альберт,Константинович,АбасовАльбертКонстантинович
169,16489,Чарикова,Жанна,Артемовна,Шебеко,Галина,Германовна,,,,Чарикова,Жанна,Артемовна,ЧариковаЖаннаАртемовна
102,16591,Кульсариева,Людмила,Денисовна,Шуткин,Максим,Марселевич,,,,Кульсариева,Людмила,Денисовна,КульсариеваЛюдмилаДенисовна
144,16735,Шевкунова,Валентина,Германовна,Харчистова,Раиса,Борисовна,,,,Шевкунова,Валентина,Германовна,ШевкуноваВалентинаГермановна
196,16931,Матюшенко,Илья,Игоревич,Подгорский,Ярослав,Романович,,,,Матюшенко,Илья,Игоревич,МатюшенкоИльяИгоревич
14,16945,Остропятова,Лидия,Ефимовна,Гирев,Антон,Робертович,,,,Остропятова,Лидия,Ефимовна,ОстропятоваЛидияЕфимовна
65,17010,Сергулина,Екатерина,Витальевна,Денисович,Илья,Янович,,,,Сергулина,Екатерина,Витальевна,СергулинаЕкатеринаВитальевна
367,17377,Победин,Вадим,Константинович,Иванеев,Альберт,Яковлев,,,,Победин,Вадим,Константинович,ПобединВадимКонстантинович
143,17520,Тяжелов,Борис,Геннадьевич,Страшников,Вадим,Яковлев,,,,Тяжелов,Борис,Геннадьевич,ТяжеловБорисГеннадьевич
68,17588,Сплюхин,Максим,Ильич,Горева,Элина,Филипповна,,,,Сплюхин,Максим,Ильич,СплюхинМаксимИльич
70,17658,Самосадский,Андрей,Станиславович,Доскалиева,Екатерина,Маратовна,,,,Самосадский,Андрей,Станиславович,СамосадскийАндрейСтаниславович
357,18015,Голощекина,Тамара,Глебовна,Аксенцов,Федор,Максимович,,,,Голощекина,Тамара,Глебовна,ГолощекинаТамараГлебовна
347,18362,Жженов,Филипп,Филиппович,Кутдусова,Эльвира,Васильевна,,,,Жженов,Филипп,Филиппович,ЖженовФилиппФилиппович
27,18389,Кушаев,Валерий,Антонович,Дмитрулина,Ангелина,Артемовна,,,,Кушаев,Валерий,Антонович,КушаевВалерийАнтонович
243,18632,Баварин,Константин,Степанович,Борилова,Яна,Тимуровна,,,,Баварин,Константин,Степанович,БаваринКонстантинСтепанович
359,18991,Степычев,Виталий,Германович,Авдонин,Артур,Олегович,,,,Степычев,Виталий,Германович,СтепычевВиталийГерманович
231,19222,Кобрина,Александра,Павловна,Пятаев,Филипп,Ильдарович,,,,Кобрина,Александра,Павловна,КобринаАлександраПавловна
18,19240,Кастерин,Антон,Алексеевич,Гладков,Роман,Дамирович,,,,Кастерин,Антон,Алексеевич,КастеринАнтонАлексеевич
1110,20350,Прыгунова,Елизавета,Глебовна,Харатьян,Леонид,Леонидович,,,,Прыгунова,Елизавета,Глебовна,ПрыгуноваЕлизаветаГлебовна
195,20545,Ардатова,Элина,Радиковна,Лошинская,Виктория,Степановна,,,,Ардатова,Элина,Радиковна,АрдатоваЭлинаРадиковна
37,20582,Крюковский,Александр,Олегович,Рузин,Артур,Филиппович,,,,Крюковский,Александр,Олегович,КрюковскийАлександрОлегович
189,20771,Неумоев,Федор,Викторович,Корин,Тимофей,Тимурович,,,,Неумоев,Федор,Викторович,НеумоевФедорВикторович
465,21236,Лобко,Григорий,Тимофеевич,Лукьянов,Иван,Ринатович,,,,Лобко,Григорий,Тимофеевич,ЛобкоГригорийТимофеевич
296,21532,Биличенко,Алексей,Семенович,Керашева,Лариса,Игоревна,,,,Биличенко,Алексей,Семенович,БиличенкоАлексейСеменович
36,21568,Говор,Олег,Тимофеевич,Янышева,Валерия,Марселевна,,,,Говор,Олег,Тимофеевич,ГоворОлегТимофеевич
1039,22607,Корелкина,Людмила,Константиновна,Малюгин,Вадим,Ильдарович,,,,Корелкина,Людмила,Константиновна,КорелкинаЛюдмилаКонстантиновна
108,22715,Поспеев,Борис,Валентинович,Власюк,Карина,Яновна,,,,Поспеев,Борис,Валентинович,ПоспеевБорисВалентинович
74,22789,Дзизинский,Валерий,Георгиевич,Абузаров,Семен,Иванович,,,,Дзизинский,Валерий,Георгиевич,ДзизинскийВалерийГеоргиевич
316,23105,Табасаранская,Антонина,Николаевна,Ромкин,Денис,Радикович,,,,Табасаранская,Антонина,Николаевна,ТабасаранскаяАнтонинаНиколаевна
682,23787,Вьюгина,Алена,Артуровна,Панов,Олег,Николаевич,,,,Вьюгина,Алена,Артуровна,ВьюгинаАленаАртуровна
297,24084,Тошева,Эльвира,Ильдаровна,Обабкова,Альбина,Альбертовна,,,,Тошева,Эльвира,Ильдаровна,ТошеваЭльвираИльдаровна
212,24296,Ревин,Дамир,Григорьевич,Юхов,Глеб,Степанович,,,,Ревин,Дамир,Григорьевич,РевинДамирГригорьевич
29,24325,Коровушкин,Юрий,Никитович,Красюкова,Светлана,Андреевна,,,,Коровушкин,Юрий,Никитович,КоровушкинЮрийНикитович
377,24702,Шинкаренков,Марсель,Аркадьевич,Ожаровский,Артем,Егорович,,,,Шинкаренков,Марсель,Аркадьевич,ШинкаренковМарсельАркадьевич
230,24932,Синенко,Светлана,Ивановна,Батанов,Андрей,Олегович,,,,Синенко,Светлана,Ивановна,СиненкоСветланаИвановна
453,25385,Трушников,Александр,Викторович,Бурутина,Людмила,Михаиловна,,,,Трушников,Александр,Викторович,ТрушниковАлександрВикторович
477,25862,Рахлин,Степан,Никитович,Букаткин,Денис,Васильевич,,,,Рахлин,Степан,Никитович,РахлинСтепанНикитович
221,26083,Ахтительнов,Ринат,Константинович,Нахимовская,Кристина,Евгеньевна,,,,Ахтительнов,Ринат,Константинович,АхтительновРинатКонстантинович
166,26249,Куберская,Полина,Станиславовна,Половкова,Гульнара,Валентиновна,,,,Куберская,Полина,Станиславовна,КуберскаяПолинаСтаниславовна
24,26273,Щаникова,Анжелика,Павловна,Зинченко,Дарья,Даниловна,,,,Щаникова,Анжелика,Павловна,ЩаниковаАнжеликаПавловна
79,26352,Фалелиева,Лилия,Станиславовна,Ягафарова,Ирина,Аркадьевна,,,,Фалелиева,Лилия,Станиславовна,ФалелиеваЛилияСтаниславовна
261,26613,Махортова,Тамара,Валерьевна,Котюков,Юрий,Степанович,,,,Махортова,Тамара,Валерьевна,МахортоваТамараВалерьевна
200,26813,Слетова,Вероника,Яковлевна,Куйбышева,Альбина,Григорьевна,,,,Слетова,Вероника,Яковлевна,СлетоваВероникаЯковлевна
287,27100,Несмачный,Тимур,Иванович,Тарасюк,Филипп,Глебович,,,,Несмачный,Тимур,Иванович,НесмачныйТимурИванович
17,27117,Якимишина,Лидия,Геннадьевна,Фотик,Елена,Максимовна,,,,Якимишина,Лидия,Геннадьевна,ЯкимишинаЛидияГеннадьевна
3,27120,Янаева,Лилия,Даниловна,Вадьяев,Роман,Аркадьевич,,,,Янаева,Лилия,Даниловна,ЯнаеваЛилияДаниловна
188,27308,Джуманбекова,Людмила,Робертовна,Мерлин,Иван,Вячеславович,,,,Джуманбекова,Людмила,Робертовна,ДжуманбековаЛюдмилаРобертовна
13,27321,Хадиуллина,Олеся,Владимировна,Тина,Валерия,Артемовна,,,,Хадиуллина,Олеся,Владимировна,ХадиуллинаОлесяВладимировна
146,27467,Сниткина,Виктория,Викторовна,Слобода,Людмила,Степановна,,,,Сниткина,Виктория,Викторовна,СниткинаВикторияВикторовна
471,27938,Городзенская,Ксения,Антоновна,Бонифатьев,Константин,Владимирович,,,,Городзенская,Ксения,Антоновна,ГородзенскаяКсенияАнтоновна
272,28210,Власевич,Элина,Борисовна,Можевитинов,Егор,Андреевич,,,,Власевич,Элина,Борисовна,ВласевичЭлинаБорисовна
517,28727,Епихина,Виктория,Викторовна,Безуля,Анна,Дмитриевна,,,,Епихина,Виктория,Викторовна,ЕпихинаВикторияВикторовна
130,28857,Птичкин,Николай,Ильич,Заломаева,Евгения,Аркадьевна,,,,Птичкин,Николай,Ильич,ПтичкинНиколайИльич
9,28866,Коз,Вячеслав,Владимирович,Гатагов,Тимур,Владимирович,,,,Коз,Вячеслав,Владимирович,КозВячеславВладимирович
30,28896,Обреимов,Степан,Леонидович,Норостова,Анастасия,Артуровна,,,,Обреимов,Степан,Леонидович,ОбреимовСтепанЛеонидович
7,28903,Анишина,Алина,Яковлевна,Оненко,Юрий,Вячеславович,,,,Анишина,Алина,Яковлевна,АнишинаАлинаЯковлевна
317,29220,Васечко,Людмила,Николаевна,Царев,Николай,Германович,,,,Васечко,Людмила,Николаевна,ВасечкоЛюдмилаНиколаевна
222,29442,Вердеревский,Руслан,Игоревич,Яхимова,Гульнара,Денисовна,,,,Вердеревский,Руслан,Игоревич,ВердеревскийРусланИгоревич
656,30098,Ощепковых,Маргарита,Григорьевна,Алферов,Ярослав,Иванович,,,,Ощепковых,Маргарита,Григорьевна,ОщепковыхМаргаритаГригорьевна
17,30115,Дежнева,Алла,Валерьевна,Алексеев,Марсель,Федорович,,,,Дежнева,Алла,Валерьевна,ДежневаАллаВалерьевна
40,30155,Кулистикова,Антонина,Викторовна,Головенко,Виктория,Яновна,,,,Кулистикова,Антонина,Викторовна,КулистиковаАнтонинаВикторовна
136,30291,Овчарова,Лариса,Марселевна,Баснин,Анатолий,Николаевич,,,,Овчарова,Лариса,Марселевна,ОвчароваЛарисаМарселевна
47,30338,Игнашин,Григорий,Владиславович,Калужская,Ангелина,Радиковна,,,,Игнашин,Григорий,Владиславович,ИгнашинГригорийВладиславович
249,30587,Касилова,Светлана,Анатольевна,Сахарных,Екатерина,Степановна,,,,Касилова,Светлана,Анатольевна,КасиловаСветланаАнатольевна
132,30719,Артюшин,Радик,Русланович,Турчинов,Тимур,Павлович,,,,Артюшин,Радик,Русланович,АртюшинРадикРусланович
3,30722,Аширова,Алиса,Юрьевна,Бржозовский,Рамиль,Олегович,,,,Аширова,Алиса,Юрьевна,АшироваАлисаЮрьевна
147,30869,Радионова,Римма,Тимуровна,Фабелинский,Тимофей,Павлович,,,,Радионова,Римма,Тимуровна,РадионоваРиммаТимуровна
45,30914,Моникина,Ирина,Геннадьевна,Князькин,Олег,Ефимович,,,,Моникина,Ирина,Геннадьевна,МоникинаИринаГеннадьевна
137,31051,Олешунин,Денис,Борисович,Бодин,Артем,Альбертович,,,,Олешунин,Денис,Борисович,ОлешунинДенисБорисович
298,31349,Бизяева,Ольга,Даниловна,Богатенко,Тимур,Ефимович,,,,Бизяева,Ольга,Даниловна,БизяеваОльгаДаниловна
227,31576,Гришухина,Елена,Филипповна,Бедрань,Анатолий,Рамилевич,,,,Гришухина,Елена,Филипповна,ГришухинаЕленаФилипповна
130,31706,Шаповалов,Константин,Ефимович,Комягин,Александр,Кириллович,,,,Шаповалов,Константин,Ефимович,ШаповаловКонстантинЕфимович
426,32132,Шамраев,Геннадий,Сергеевич,Шустиков,Василий,Андреевич,,,,Шамраев,Геннадий,Сергеевич,ШамраевГеннадийСергеевич
213,32345,Усеинова,Екатерина,Яковлевна,Цуриков,Вячеслав,Ильич,,,,Усеинова,Екатерина,Яковлевна,УсеиноваЕкатеринаЯковлевна
117,32462,Арапкина,Лариса,Маратовна,Юшенков,Дмитрий,Витальевич,,,,Арапкина,Лариса,Маратовна,АрапкинаЛарисаМаратовна
355,32817,Мелешко,Галина,Ярославовна,Петровцев,Владимир,Никитович,,,,Мелешко,Галина,Ярославовна,МелешкоГалинаЯрославовна
284,33101,Космаков,Федор,Никитович,Думчева,Инна,Борисовна,,,,Космаков,Федор,Никитович,КосмаковФедорНикитович
107,33208,Колотов,Борис,Владиславович,Тадеева,Валентина,Эдуардовна,,,,Колотов,Борис,Владиславович,КолотовБорисВладиславович
685,33893,Качмазов,Андрей,Александрович,Венгер,Кира,Валерьевна,,,,Качмазов,Андрей,Александрович,КачмазовАндрейАлександрович
65,33958,Евтяева,Александра,Артемовна,Клокачева,Валентина,Павловна,,,,Евтяева,Александра,Артемовна,ЕвтяеваАлександраАртемовна
14,33972,Маришина,Римма,Денисовна,Кирютин,Аркадий,Тимофеевич,,,,Маришина,Римма,Денисовна,МаришинаРиммаДенисовна
94,34066,Полувалова,Оксана,Дмитриевна,Манов,Леонид,Данилович,,,,Полувалова,Оксана,Дмитриевна,ПолуваловаОксанаДмитриевна
4,34070,Трифилов,Семен,Тимофеевич,Борисяк,Григорий,Рамилевич,,,,Трифилов,Семен,Тимофеевич,ТрифиловСеменТимофеевич
180,34250,Базылянский,Рамиль,Сергеевич,Сотскова,Полина,Олеговна,,,,Базылянский,Рамиль,Сергеевич,БазылянскийРамильСергеевич
133,34383,Бабаханова,Анастасия,Павловна,Безущак,Денис,Рамилевич,,,,Бабаханова,Анастасия,Павловна,БабахановаАнастасияПавловна
57,34440,Батина,Ольга,Васильевна,Подберезкина,Любовь,Яновна,,,,Батина,Ольга,Васильевна,БатинаОльгаВасильевна
193,34633,Блинушов,Павел,Алексеевич,Лицов,Станислав,Германович,,,,Блинушов,Павел,Алексеевич,БлинушовПавелАлексеевич
304,34937,Коренин,Василий,Тимофеевич,Мурзич,Антонина,Николаевна,,,,Коренин,Василий,Тимофеевич,КоренинВасилийТимофеевич
136,35073,Загваздин,Кирилл,Валерьевич,Балыш,Глеб,Борисович,,,,Загваздин,Кирилл,Валерьевич,ЗагваздинКириллВалерьевич
114,35187,Сухинин,Александр,Максимович,Тонконогих,Ольга,Олеговна,,,,Сухинин,Александр,Максимович,СухининАлександрМаксимович
200,35387,Ховрашов,Ринат,Артурович,Лупирыба,Антонина,Викторовна,,,,Ховрашов,Ринат,Артурович,ХоврашовРинатАртурович
292,35679,Лелякин,Руслан,Ярославович,Байракова,Валентина,Кирилловна,,,,Лелякин,Руслан,Ярославович,ЛелякинРусланЯрославович
93,35772,Бурганитдинова,Ксения,Владиславовна,Скопин,Яков,Ринатович,,,,Бурганитдинова,Ксения,Владиславовна,БурганитдиноваКсенияВладиславовна
597,36369,Лупанова,Вероника,Анатольевна,Тиханина,Яна,Степановна,,,,Лупанова,Вероника,Анатольевна,ЛупановаВероникаАнатольевна
49,36418,Хабиров,Ярослав,Данилович,Евстафьев,Дмитрий,Юрьевич,,,,Хабиров,Ярослав,Данилович,ХабировЯрославДанилович
37,36455,Нерадивова,Лилия,Степановна,Сушов,Георгий,Максимович,,,,Нерадивова,Лилия,Степановна,НерадивоваЛилияСтепановна
159,36614,Рогульская,Альбина,Олеговна,Арцыбушева,Мария,Александровна,,,,Рогульская,Альбина,Олеговна,РогульскаяАльбинаОлеговна
668,37282,Екатеринина,Ксения,Яновна,Белопольская,Раиса,Маратовна,,,,Екатеринина,Ксения,Яновна,ЕкатерининаКсенияЯновна
56,37338,Слынько,Диана,Олеговна,Сельянов,Юрий,Вячеславович,,,,Слынько,Диана,Олеговна,СлынькоДианаОлеговна
84,37422,Говендяев,Валентин,Антонович,Бухреева,Елизавета,Сергеевна,,,,Говендяев,Валентин,Антонович,ГовендяевВалентинАнтонович
447,37869,Артамошина,Валентина,Ринатовна,Вахромеев,Эдуард,Вячеславович,,,,Артамошина,Валентина,Ринатовна,АртамошинаВалентинаРинатовна
